Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Alexandrite,DMG,none,treasure,,,,500 gp,A transparent dark green gemstone.
Aquamarine,DMG,none,treasure,,,,500 gp,A transparent pale blue-green gemstone.
Assassin's Blood,DMG,none,"adventuring gear, poison (ingested)",,,,150 gp,"A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 (1d12) poison damage and is poisoned for 24 hours. On a successful save, the creature takes half damage and isn't poisoned."
Black Pearl,DMG,none,treasure,,,,500 gp,An opaque pure black gemstone.
Black Sap,EGW,none,adventuring gear,,,,300 gp,"This tarry substance harvested from the dark boughs of the death's head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours.For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses."
Blight Ichor,EGW,none,adventuring gear,,,,200 gp,"This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour."
Blue Spinel,DMG,none,treasure,,,,500 gp,A transparent deep blue gemstone.
Box of turquoise animal figurines,DMG,none,treasure,,,,250 gp,
Brass mug with jade inlay,DMG,none,treasure,,,,250 gp,
Breastplate,PHB,none,medium armor,,AC 14 + Dex (max 2),20 lb.,400 gp,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Bronze crown,DMG,none,treasure,,,,250 gp,
Burnt Othur Fumes,DMG,none,"adventuring gear, poison (inhaled)",,,,500 gp,"A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends."
Carrion Crawler Mucus,DMG,none,"adventuring gear, poison (contact)",,,,200 gp,"This poison must be harvested from a dead or incapacitated carrion crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
Carved ivory statuette,DMG,none,treasure,,,,250 gp,
Drow Poison,DMG,none,"adventuring gear, poison (injury)",,,,200 gp,"This poison is typically made only by the drow, and only in a place far removed from sunlight. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more, the creature is also unconscious while poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
Essence of Ether,DMG,none,"adventuring gear, poison (inhaled)",,,,300 gp,A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 8 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.
Gold bird cage with electrum filigree,DMG,none,treasure,,,,250 gp,
Gold ring set with bloodstones,DMG,none,treasure,,,,250 gp,
Large gold bracelet,DMG,none,treasure,,,,250 gp,
Large well-made tapestry,DMG,none,treasure,,,,250 gp,
Malice,DMG,none,"adventuring gear, poison (inhaled)",,,,250 gp,A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 1 hour. The poisoned creature is blinded.
Oil of Taggit,DMG,none,"adventuring gear, poison (contact)",,,,400 gp,A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become poisoned for 24 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage.
Pale Tincture,DMG,none,"adventuring gear, poison (ingested)",,,,250 gp,"A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become poisoned. The poisoned creature must repeat the saving throw every 24 hours, taking 3 (1d6) poison damage on a failed save. Until this poison ends, the damage the poison deals can't be healed by any means. After seven successful saving throws, the effect ends and the creature can heal normally."
Peridot,DMG,none,treasure,,,,500 gp,A transparent rich olive green gemstone.
Platinum,PHB,none,Trade Good,,,1 lb.,500 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Pride Silk Outfit,EGW,none,adventuring gear,,,4 lb.,500 gp,"An outfit made of pride silk weighs 4 pounds and costs 500 gp. If you aren't wearing armor, your base Armor Class is 11 + your Dexterity modifier while wearing it."
Serpent Venom,DMG,none,"adventuring gear, poison (injury)",,,,200 gp,"This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one."
Silk robe with gold embroidery,DMG,none,treasure,,,,250 gp,
Silver necklace with a gemstone pendant,DMG,none,treasure,,,,250 gp,
Soothsalts,EGW,none,adventuring gear,,,,150 gp,"Soothsalts are derived from a naturally occurring crystalline substance discovered throughout the wilds of the Miskath Strand. The crimson crystals have been mined from cavernous veins like those in the mouth of the Miskath Pit and found within smaller geode formations near sites ravaged by the Calamity. Soothsalts are consumed orally in lozenge-sized doses, and frequent users can be identified by the telltale crimson stain around their mouths. A creature subjected to a dose of soothsalts gains advantage on all Intelligence checks for 1d4 hours.For each dose of soothsalts consumed, the creature must succeed on a DC 15 Constitution saving throw or gain one level of exhaustion—an effect which is cumulative with multiple doses."
Splint Armor,PHB,none,heavy armor,,AC 17,60 lb.,200 gp,"This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
